sample_id	donor	condition	replicate	Date	ng_ul	ratio_260_280	ratio_260_230	ng_ul_mean	extraction_date
peop_A	peop	A	1	2014-06-06	72.1	2.07	2.24	69.7375	2014-06-06
peop_B	peop	B	1	2014-06-06	113.82	2.07	1.88	69.7375	2014-06-06
peop_C	peop	C	1	2014-06-06	51.71	2.06	2.03	69.7375	2014-06-06
peop_D	peop	D	1	2014-06-06	41.32	2.03	2.23	69.7375	2014-06-06
ffdp_A	ffdp	A	1	2014-06-06	81.06	2.09	2.21	106.5675	2014-06-06
ffdp_B	ffdp	B	1	2014-06-06	162	2.05	2.13	106.5675	2014-06-06
ffdp_C	ffdp	C	1	2014-06-06	111.95	2.06	2.18	106.5675	2014-06-06
ffdp_D	ffdp	D	1	2014-06-06	71.26	2.09	1.96	106.5675	2014-06-06
ougl_A	ougl	A	1	2014-06-09	128.41	2.08	2.04	108.6075	2014-06-09
ougl_B	ougl	B	1	2014-06-09	132.44	2.05	2.12	108.6075	2014-06-09
ougl_C	ougl	C	1	2014-06-06	122.42	2.07	2.21	108.6075	2014-06-09
ougl_D	ougl	D	1	2014-06-06	51.16	2.09	1.91	108.6075	2014-06-09
iasn_A	iasn	A	1	2014-06-09	156.21	2.05	2.02	136.7875	2014-06-09
iasn_B	iasn	B	1	2014-06-09	139.1	2.04	2.18	136.7875	2014-06-09
iasn_C	iasn	C	1	2014-06-09	125.05	2.05	2.12	136.7875	2014-06-09
iasn_D	iasn	D	1	2014-06-09	126.79	2.01	1.51	136.7875	2014-06-09
aipt_A	aipt	A	1	2014-07-09	79.39	2.03	1.87	271.84	2014-06-24
aipt_B	aipt	B	1	2014-06-24	267.66	2.05	2.13	271.84	2014-06-24
aipt_C	aipt	C	1	2014-06-24	289.17	2.04	2.18	271.84	2014-06-24
aipt_D	aipt	D	1	2014-06-24	258.69	2.05	2.2	271.84	2014-06-24
liun_A	liun	A	1	2014-06-24	151.29	2.05	2.31	209.575	2014-06-24
liun_B	liun	B	1	2014-06-24	318.17	2.06	2.21	209.575	2014-06-24
liun_C	liun	C	1	2014-06-24	190.86	2.06	2.19	209.575	2014-06-24
liun_D	liun	D	1	2014-06-24	177.98	2.07	2.25	209.575	2014-06-24
oomz_A	oomz	A	1	2014-07-09	228.61	2.06	2.12	187.455	2014-07-09
oomz_B	oomz	B	1	2014-07-09	242.96	2.05	2.09	187.455	2014-07-09
oomz_C	oomz	C	1	2014-07-09	178.26	2.06	2.07	187.455	2014-07-09
oomz_D	oomz	D	1	2014-07-09	99.99	2.05	1.95	187.455	2014-07-09
qanu_A	qanu	A	1	2014-07-09	84.82	2.06	2.03	70.9	2014-07-09
qanu_B	qanu	B	1	2014-07-09	98.31	2.04	2.03	70.9	2014-07-09
qanu_C	qanu	C	1	2014-07-09	58.93	2.04	2.01	70.9	2014-07-09
qanu_D	qanu	D	1	2014-07-09	41.54	2.05	1.2	70.9	2014-07-09
zisa_A	zisa	A	1	2014-07-15	91.74	2.04	1.98	116.8425	2014-07-15
zisa_B	zisa	B	1	2014-07-15	144.07	2.05	2.02	116.8425	2014-07-15
zisa_C	zisa	C	1	2014-07-15	112.12	2.03	2.02	116.8425	2014-07-15
zisa_D	zisa	D	1	2014-07-15	119.44	2.04	1.98	116.8425	2014-07-15
hikj_A	hikj	A	1	2014-07-15	157.29	2.05	2.09	163.555	2014-07-15
hikj_B	hikj	B	1	2014-07-15	186.89	2.04	2.07	163.555	2014-07-15
hikj_C	hikj	C	1	2014-07-15	153.84	2.05	2.04	163.555	2014-07-15
hikj_D	hikj	D	1	2014-07-15	156.2	2.05	2.07	163.555	2014-07-15
qimz_A	qimz	A	1	2014-07-15	335.72	2.04	2.12	307.4575	2014-07-15
qimz_B	qimz	B	1	2014-07-15	342.45	2.04	2.13	307.4575	2014-07-15
qimz_C	qimz	C	1	2014-07-15	266.34	2.05	2.12	307.4575	2014-07-15
qimz_D	qimz	D	1	2014-07-15	285.32	2.05	2.12	307.4575	2014-07-15
funp_A	funp	A	1	2014-09-08	131.28	2.11	2.05	124.5425	2014-09-08
funp_B	funp	B	1	2014-09-08	159.81	2.1	2.08	124.5425	2014-09-08
funp_C	funp	C	1	2014-09-08	103.33	2.12	1.94	124.5425	2014-09-08
funp_D	funp	D	1	2014-09-08	103.75	2.15	2.1	124.5425	2014-09-08
yuze_A	yuze	A	1	2014-09-08	156.39	2.12	2.07	136.7475	2014-09-08
yuze_B	yuze	B	1	2014-09-08	123.5	2.13	1.9	136.7475	2014-09-08
yuze_C	yuze	C	1	2014-09-08	174.13	2.12	2.02	136.7475	2014-09-08
yuze_D	yuze	D	1	2014-09-08	92.97	2.13	2.1	136.7475	2014-09-08
coxy_A	coxy	A	1	2014-09-08	155.81	2.1	1.9	121.575	2014-09-08
coxy_B	coxy	B	1	2014-09-08	148.67	2.13	2.08	121.575	2014-09-08
coxy_C	coxy	C	1	2014-09-08	81.86	2.11	1.97	121.575	2014-09-08
coxy_D	coxy	D	1	2014-09-08	99.96	2.13	1.82	121.575	2014-09-08
fpdj_A	fpdj	A	1	2014-09-22	114.4	2.05	1.97	123.535	2014-09-22
fpdj_B	fpdj	B	1	2014-09-22	170.81	2.06	2.03	123.535	2014-09-22
fpdj_C	fpdj	C	1	2014-09-22	106.34	2.03	1.94	123.535	2014-09-22
fpdj_D	fpdj	D	1	2014-09-22	102.59	2.02	1.78	123.535	2014-09-22
huls_A	huls	A	1	2014-09-22	183.45	2.05	1.89	160.49	2014-09-22
huls_B	huls	B	1	2014-09-22	207.45	2.04	1.83	160.49	2014-09-22
huls_C	huls	C	1	2014-09-22	101.99	2.04	1.87	160.49	2014-09-22
huls_D	huls	D	1	2014-09-22	149.07	2.05	1.62	160.49	2014-09-22
oarz_A_2	oarz	A	2	2014-11-06	265.39	2.05	1.87	247.1	2014-11-06
oarz_B_2	oarz	B	2	2014-11-06	279.78	2	2.07	247.1	2014-11-06
oarz_C_2	oarz	C	2	2014-11-06	227.36	2.05	1.89	247.1	2014-11-06
oarz_D_2	oarz	D	2	2014-11-06	215.87	2.01	2.06	247.1	2014-11-06
darw_A	darw	A	1	2014-11-06	57.19	1.93	2.02	70.35	2014-11-06
darw_B	darw	B	1	2014-11-06	101.32	2	2.05	70.35	2014-11-06
darw_C	darw	C	1	2014-11-06	64.27	1.93	1.86	70.35	2014-11-06
darw_D	darw	D	1	2014-11-06	58.62	1.94	2.07	70.35	2014-11-06
giuo_A	giuo	A	1	2014-11-06	280.79	2.03	2.11	279.085	2014-11-06
giuo_B	giuo	B	1	2014-11-06	320.78	2.03	2	279.085	2014-11-06
giuo_C	giuo	C	1	2014-11-06	259.51	2.03	2.13	279.085	2014-11-06
giuo_D	giuo	D	1	2014-11-06	255.26	2.02	2.08	279.085	2014-11-06
kaks_A	kaks	A	1	2014-11-15	89.22	2.05	2.01	117.81	2014-11-15
kaks_B	kaks	B	1	2014-11-15	150.37	2.05	2.02	117.81	2014-11-15
kaks_C	kaks	C	1	2014-11-15	136.6	2.08	2.11	117.81	2014-11-15
kaks_D	kaks	D	1	2014-11-15	95.05	2.06	1.55	117.81	2014-11-15
fpdl_A	fpdl	A	1	2014-11-15	97.36	2.05	2.01	86.47	2014-11-15
fpdl_B	fpdl	B	1	2014-11-15	96.6	2.07	1.77	86.47	2014-11-15
fpdl_C	fpdl	C	1	2014-11-15	85.54	2.1	1.61	86.47	2014-11-15
fpdl_D	fpdl	D	1	2014-11-15	66.38	2.08	2.17	86.47	2014-11-15
gomv_A	gomv	A	1	2014-11-15	181.09	2.08	1.75	167.038785714286	2014-11-15
gomv_B	gomv	B	1	2014-11-15	183.2	2.04	1.4	167.038785714286	2014-11-15
gomv_C	gomv	C	1	2014-11-15	127	2.09	2.12	167.038785714286	2014-11-15
gomv_D	gomv	D	1	2014-11-15	176.865142857143	2.06	2.14	167.038785714286	2014-11-15
golb_A	golb	A	1	2014-11-15	241.92	2.06	2.15	249.0175	2014-11-15
golb_B	golb	B	1	2014-11-15	322.4	2.05	2.12	249.0175	2014-11-15
golb_C	golb	C	1	2014-11-15	212.51	2.06	2.15	249.0175	2014-11-15
golb_D	golb	D	1	2014-11-15	219.24	2.08	2.16	249.0175	2014-11-15
zuta_A	zuta	A	1	2014-11-25	300.16	2.05	2.05	283.025	2014-11-25
zuta_B	zuta	B	1	2014-11-25	344.67	2.04	2.12	283.025	2014-11-25
zuta_C	zuta	C	1	2014-11-25	227.34	2.05	1.81	283.025	2014-11-25
zuta_D	zuta	D	1	2014-11-25	259.93	2.05	1.97	283.025	2014-11-25
cuau_A	cuau	A	1	2014-11-25	168.02	2.04	2.04	153.9025	2014-11-25
cuau_B	cuau	B	1	2014-11-25	290.79	2.06	1.71	153.9025	2014-11-25
cuau_C	cuau	C	1	2014-11-25	56.72	2.12	2.2	153.9025	2014-11-25
cuau_D	cuau	D	1	2014-11-25	100.08	2.05	2.09	153.9025	2014-11-25
cehw_A	cehw	A	1	2014-11-25	116.53	2.05	1.95	98.1075	2014-11-25
cehw_B	cehw	B	1	2014-11-25	140.31	2.05	1.96	98.1075	2014-11-25
cehw_C	cehw	C	1	2014-11-25	56.67	2.01	1.95	98.1075	2014-11-25
cehw_D	cehw	D	1	2014-11-25	78.92	2.08	1.99	98.1075	2014-11-25
coio_A	coio	A	1	2014-11-25	222.12	2.04	2.11	162.7075	2014-11-25
coio_B	coio	B	1	2014-11-25	234.79	2.03	1.95	162.7075	2014-11-25
coio_C	coio	C	1	2014-11-25	118.18	2.09	2.06	162.7075	2014-11-25
coio_D	coio	D	1	2014-11-25	75.74	2.08	2.04	162.7075	2014-11-25
vorx_A	vorx	A	1	2014-11-25	113.02	2.05	2.08	129.37	2014-11-25
vorx_B	vorx	B	1	2014-11-25	242.55	2.05	2.1	129.37	2014-11-25
vorx_C	vorx	C	1	2014-11-25	82.79	2.1	2.14	129.37	2014-11-25
vorx_D	vorx	D	1	2014-11-25	79.12	2.02	2.03	129.37	2014-11-25
meqo_A	meqo	A	1	2014-12-04	44.39	1.96	1.31	45.49	2014-12-04
meqo_B	meqo	B	1	2014-12-04	69.05	2.03	2.05	45.49	2014-12-04
meqo_C	meqo	C	1	2014-12-04	24.22	2.17	1.93	45.49	2014-12-04
meqo_D	meqo	D	1	2014-12-04	44.3	2.06	2.2	45.49	2014-12-04
auim_A	auim	A	1	2014-12-04	111.15	2.05	2.07	97.0125	2014-12-04
auim_B	auim	B	1	2014-12-04	155.63	2.06	2.09	97.0125	2014-12-04
auim_C	auim	C	1	2014-12-04	75.92	2.08	1.86	97.0125	2014-12-04
auim_D	auim	D	1	2014-12-04	45.35	2.07	1.81	97.0125	2014-12-04
ffdm_A	ffdm	A	1	2014-12-04	35.21	2.08	2.01	52.225	2014-12-04
ffdm_B	ffdm	B	1	2014-12-04	110.82	2.08	2.16	52.225	2014-12-04
ffdm_C	ffdm	C	1	2014-12-04	31.79	2.03	1.63	52.225	2014-12-04
ffdm_D	ffdm	D	1	2014-12-04	31.08	2.13	1.79	52.225	2014-12-04
oeoo_A	oeoo	A	1	2014-12-04	70.49	2.02	2.13	60.4025	2014-12-04
oeoo_B	oeoo	B	1	2014-12-04	50.07	2.07	1.91	60.4025	2014-12-04
oeoo_C	oeoo	C	1	2014-12-04	45.54	2.03	2.13	60.4025	2014-12-04
oeoo_D	oeoo	D	1	2014-12-04	75.51	2.06	2.03	60.4025	2014-12-04
voas_A	voas	A	1	2014-12-07	129.58	2.15	2.12	108.8125	2014-12-07
voas_B	voas	B	1	2014-12-07	145.22	2.1	2.14	108.8125	2014-12-07
voas_C	voas	C	1	2014-12-07	93.41	2.13	1.94	108.8125	2014-12-07
voas_D	voas	D	1	2014-12-07	67.04	2.11	1.92	108.8125	2014-12-07
fpdj_A_2	fpdj	A	2	2014-12-07	97.89	2.14	2.11	94.4575	2014-12-07
fpdj_B_2	fpdj	B	2	2014-12-07	175.1	2.1	2.19	94.4575	2014-12-07
fpdj_C_2	fpdj	C	2	2014-12-07	70.37	2.24	2.2	94.4575	2014-12-07
fpdj_D_2	fpdj	D	2	2014-12-07	34.47	2.42	1.7	94.4575	2014-12-07
debk_A	debk	A	1	2014-12-07	69.56	2.19	2.04	73.9475	2014-12-07
debk_B	debk	B	1	2014-12-07	85.57	2.16	2	73.9475	2014-12-07
debk_C	debk	C	1	2014-12-07	100.39	2.16	2.03	73.9475	2014-12-07
debk_D	debk	D	1	2014-12-07	40.27	2.29	2.19	73.9475	2014-12-07
euir_A	euir	A	1	2014-12-08	79.69	2.09	2.11	110.155	2014-12-08
euir_B	euir	B	1	2014-12-08	178.48	2.06	1.87	110.155	2014-12-08
euir_C	euir	C	1	2014-12-08	60.06	2.03	2.02	110.155	2014-12-08
euir_D	euir	D	1	2014-12-08	122.39	2.08	2.17	110.155	2014-12-08
bima_A	bima	A	1	2015-02-05	89.42	2.08	2.48	91.64	2015-02-05
bima_B	bima	B	1	2015-02-05	95.65	2.07	2.02	91.64	2015-02-05
bima_C	bima	C	1	2015-02-05	97.46	2.07	2.32	91.64	2015-02-05
bima_D	bima	D	1	2015-02-05	84.03	2.05	2.46	91.64	2015-02-05
jorr_A	jorr	A	1	2015-02-05	140	2.04	1.89	159.8025	2015-02-05
jorr_B	jorr	B	1	2015-02-05	222.41	2.05	1.91	159.8025	2015-02-05
