sample_id	ng_ul	RIN batch
pahc_A	285.7959	9.3	1
pahc_B	348.1816	9.3	1
pahc_C	336.9085	9.5	1
pahc_D	286.0322	9.4	1
wibj_A	249.5236	9.6	1
wibj_B	261.8318	9.5	1
wibj_C	358.4066	9.4	1
wibj_D	312.3794	9.5	1
xucm_A	375.7879	9.2	1
xucm_B	557.7778	9.4	1
xucm_C	204.5852	9.6	1
xucm_D	274.2646	9.4	1
mijn_A	180.9245	10	2
mijn_B	202.5681	9.8	2
mijn_C	221.1311	9.7	2
mijn_D	230.982	9.7	2
eojr_B	535.2361	9.5	2
eojr_C	167.6342	9.8	2
eojr_D	353.7279	9.6	2
sukz_A	552.8311	9.4	2
sukz_B	560.1312	9.6	2
sukz_C	309.3145	9.6	2
sukz_D	413.1511	9.6	2
kolf_A	280.2377	9.4	3
kolf_B	324.2857	9.5	3
kolf_C	354.2979	9.3	3
kolf_D	372.6895	9.3	3
veqz_A	321.9911	9.4	3
veqz_B	363.6618	9.4	3
veqz_C	183.2742	9.5	3
veqz_D	320.7051	9.3	3
joxm_A	367.4374	9.4	3
joxm_B	556.284	9.2	3
joxm_C	589.0942	9.3	3
joxm_D	477.0858	9.2	3
bubh_A	207.8689	9.2	4
bubh_B	267.2769	9.4	4
bubh_C	116.0647	9.7	4
bubh_D	107.4168	9.3	4
iisa_A	303.8532	8.9	4
iisa_B	480.2985	9.1	4
iisa_C	336.924	9.2	4
iisa_D	479.0643	9.1	4
ruyv_A	105.7446	8.6	4
ruyv_B	74.17484	8	4
ruyv_D	60.06049	8.2	4
eojr_A	177.0294	9.4	4
